"Source";"Target";"Type";"Year"
8005;31067;"Directed";1987
8005;8957;"Directed";1987
8005;13291;"Directed";1987
8005;35137;"Directed";1987
8005;151;"Directed";1987
8005;9944;"Directed";1987
8005;15824;"Directed";1987
8005;34162;"Directed";1987
8005;18119;"Directed";1987
8005;18364;"Directed";1987
8005;33721;"Directed";1987
8005;27703;"Directed";1987
8005;28628;"Directed";1987
8005;31645;"Directed";1987
8005;22395;"Directed";1987
8005;3209;"Directed";1987
8005;15911;"Directed";1987
8005;19838;"Directed";1987
8005;2325;"Directed";1987
8005;27562;"Directed";1987
8005;27425;"Directed";1987
8005;6130;"Directed";1987
8005;7735;"Directed";1987
8005;7024;"Directed";1987
8005;13990;"Directed";1987
8005;1487;"Directed";1987
8005;31731;"Directed";1987
8005;20501;"Directed";1987
8005;13109;"Directed";1987
8005;22242;"Directed";1987
8005;7670;"Directed";1987
8005;32636;"Directed";1987
8005;1499;"Directed";1987
8005;5953;"Directed";1987
8005;27890;"Directed";1987
8005;17855;"Directed";1987
8005;32645;"Directed";1987
8005;34728;"Directed";1987
8005;9243;"Directed";1987
8005;32573;"Directed";1987
8005;36376;"Directed";1987
8005;3676;"Directed";1987
8005;28143;"Directed";1987
8005;14248;"Directed";1987
8005;7125;"Directed";1987
8005;36449;"Directed";1987
8005;17820;"Directed";1987
8005;27382;"Directed";1987
8005;35943;"Directed";1987
8005;13207;"Directed";1987
8005;31855;"Directed";1987
8005;33482;"Directed";1987
7455;37039;"Directed";1989
7455;4060;"Directed";1989
7455;25480;"Directed";1989
7455;18512;"Directed";1989
7455;16972;"Directed";1989
7455;11333;"Directed";1989
7455;24684;"Directed";1989
7455;25022;"Directed";1989
7455;7013;"Directed";1989
7455;37065;"Directed";1989
7455;9506;"Directed";1989
7455;26997;"Directed";1989
7455;7025;"Directed";1989
7455;25201;"Directed";1989
7455;36503;"Directed";1989
7455;25366;"Directed";1989
7455;30596;"Directed";1989
7455;35600;"Directed";1989
7455;19425;"Directed";1989
7455;32869;"Directed";1989
7455;19114;"Directed";1989
7455;36520;"Directed";1989
7455;11694;"Directed";1989
7455;29711;"Directed";1989
7455;33863;"Directed";1989
7455;18252;"Directed";1989
7455;30911;"Directed";1989
7455;5596;"Directed";1989
7455;30920;"Directed";1989
7455;27918;"Directed";1989
7455;5004;"Directed";1989
7455;13141;"Directed";1989
7455;23784;"Directed";1989
7455;18281;"Directed";1989
7455;24668;"Directed";1989
7455;12575;"Directed";1989
7455;17053;"Directed";1989
7455;28733;"Directed";1989
7455;3078;"Directed";1989
7455;32703;"Directed";1989
7455;19192;"Directed";1989
7455;23521;"Directed";1989
7455;26473;"Directed";1989
7455;30052;"Directed";1989
7455;14546;"Directed";1989
7455;4165;"Directed";1989
7455;27356;"Directed";1989
7455;17081;"Directed";1989
7455;27075;"Directed";1989
7455;8254;"Directed";1989
7455;24993;"Directed";1989
7455;9171;"Directed";1989
7455;3897;"Directed";1989
7455;17714;"Directed";1989
7455;33372;"Directed";1989
7455;18016;"Directed";1989
7455;6645;"Directed";1989
7455;11883;"Directed";1989
7455;12918;"Directed";1989
7455;6622;"Directed";1989
7455;13513;"Directed";1989
7455;33482;"Directed";1989
7455;37474;"Directed";1989
7455;13679;"Directed";1989
7455;33940;"Directed";1989
7455;6545;"Directed";1989
7455;36030;"Directed";1989
7455;33861;"Directed";1989
7455;15521;"Directed";1989
7455;12064;"Directed";1989
7455;19829;"Directed";1989
7455;33055;"Directed";1989
7455;31008;"Directed";1989
7455;3294;"Directed";1989
7455;24740;"Directed";1989
7455;15311;"Directed";1989
7455;36723;"Directed";1989
7455;5388;"Directed";1989
7455;21015;"Directed";1989
7455;22434;"Directed";1989
7455;33838;"Directed";1989
7455;16234;"Directed";1989
7455;9242;"Directed";1989
7455;18079;"Directed";1989
7455;14468;"Directed";1989
7455;8923;"Directed";1989
7455;22231;"Directed";1989
7455;21115;"Directed";1989
7455;29252;"Directed";1989
7455;31603;"Directed";1989
7455;9909;"Directed";1989
7455;23904;"Directed";1989
7455;36664;"Directed";1989
7455;18408;"Directed";1989
7455;33991;"Directed";1989
7455;36666;"Directed";1989
7455;23468;"Directed";1989
7455;493;"Directed";1989
7455;7767;"Directed";1989
7455;30628;"Directed";1989
7455;9827;"Directed";1989
7455;14759;"Directed";1989
7455;35198;"Directed";1989
7455;32231;"Directed";1989
7455;33411;"Directed";1989
7455;18725;"Directed";1989
7455;16576;"Directed";1989
7455;8067;"Directed";1989
7455;11241;"Directed";1989
7455;15667;"Directed";1989
7455;34905;"Directed";1989
7455;518;"Directed";1989
7455;28087;"Directed";1989
7455;35211;"Directed";1989
7455;2837;"Directed";1989
7455;14187;"Directed";1989
7455;13302;"Directed";1989
7455;19622;"Directed";1989
7455;32248;"Directed";1989
7455;21361;"Directed";1989
7455;15686;"Directed";1989
7455;27024;"Directed";1989
7455;20451;"Directed";1989
7455;18131;"Directed";1989
7455;19422;"Directed";1989
7455;6714;"Directed";1989
7455;1468;"Directed";1989
7455;2037;"Directed";1989
7455;2580;"Directed";1989
7455;21670;"Directed";1989
7455;11271;"Directed";1989
7455;5777;"Directed";1989
7455;13129;"Directed";1989
7455;33289;"Directed";1989
7455;4304;"Directed";1989
7455;33162;"Directed";1989
7455;8525;"Directed";1989
7455;24266;"Directed";1989
7455;34516;"Directed";1989
7455;4828;"Directed";1989
7455;8698;"Directed";1989
7455;20734;"Directed";1989
7455;37621;"Directed";1989
7455;35539;"Directed";1989
7455;9896;"Directed";1989
7455;3465;"Directed";1989
7455;26857;"Directed";1989
7455;36449;"Directed";1989
7455;10433;"Directed";1989
7455;14835;"Directed";1989
7455;28136;"Directed";1989
7455;4332;"Directed";1989
7455;34673;"Directed";1989
7455;19383;"Directed";1989
15046;22013;"Directed";1986
15046;19984;"Directed";1986
15046;37330;"Directed";1986
15046;31714;"Directed";1986
15046;24089;"Directed";1986
15046;22981;"Directed";1986
15046;29080;"Directed";1986
15046;35577;"Directed";1986
15046;2351;"Directed";1986
15046;13983;"Directed";1986
15046;895;"Directed";1986
15046;6136;"Directed";1986
15046;12237;"Directed";1986
15046;22331;"Directed";1986
15046;22337;"Directed";1986
15046;29656;"Directed";1986
15046;23471;"Directed";1986
15046;13118;"Directed";1986
15046;14314;"Directed";1986
15046;34726;"Directed";1986
15046;3552;"Directed";1986
15046;10518;"Directed";1986
15046;1511;"Directed";1986
15046;18252;"Directed";1986
15046;14343;"Directed";1986
15046;4242;"Directed";1986
15046;14604;"Directed";1986
15046;36157;"Directed";1986
15046;24363;"Directed";1986
15046;9109;"Directed";1986
15046;6172;"Directed";1986
15046;11499;"Directed";1986
15046;9223;"Directed";1986
15046;20966;"Directed";1986
15046;32682;"Directed";1986
15046;81;"Directed";1986
15046;25847;"Directed";1986
15046;7160;"Directed";1986
15046;1552;"Directed";1986
15046;19192;"Directed";1986
15046;25862;"Directed";1986
15046;37138;"Directed";1986
15046;16396;"Directed";1986
15046;27202;"Directed";1986
15046;26176;"Directed";1986
15046;30074;"Directed";1986
15046;24084;"Directed";1986
15046;90;"Directed";1986
15046;17075;"Directed";1986
15046;5933;"Directed";1986
15046;9432;"Directed";1986
15046;6504;"Directed";1986
15046;30060;"Directed";1986
15046;11752;"Directed";1986
15046;10022;"Directed";1986
15046;30397;"Directed";1986
15046;26205;"Directed";1986
15046;2157;"Directed";1986
15046;25900;"Directed";1986
15046;10870;"Directed";1986
15046;9180;"Directed";1986
15046;134;"Directed";1986
15046;36109;"Directed";1986
15046;35406;"Directed";1986
15046;13206;"Directed";1986
