"codice-isil";"denominazione";"indirizzo";"frazione";"cap";"comune";"codice istat comune";"provincia";"regione";"codice istat provincia";"latitudine";"longitudine";"telefono";"fax";"email";"url"
"IT-AG0001";"Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi";"Contrada S. Nicola";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3361677";"13,5880717";"+39 0922595830";"";"";""
"IT-AG0005";"Biblioteca dell'Archivio di Stato di Agrigento";"Via Mazzini";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3224744";"13,5898176";"+39 0922602494";"";"";""
"IT-AG0006";"Biblioteca del Seminario vescovile";"Piazza don Minzoni";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3137125";"13,5749656";"+39 092220226";"+39 0922490024";"";""
"IT-AG0007";"Biblioteca Comunale Franco La Rocca";"Piazzale Aldo Moro n. 3";"";"92100";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,3096114156152";"13,5861396789551";"+39 0922595166";"+39 0922401246";"biblioteca.larocca@comune.agrigento.it";"http://www.opacagrigento.it/biblioteche/bi_1.html"
"IT-AG0008";"Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti";"Via Belvedere 127";"Giardina Gallotti";"92010";"Agrigento";"084001";"Agrigento";"SICILIA";"084";"37,4050904";"13,5291051";"+39 0922410117";"";"";""
"IT-AG0010";"Biblioteca Comunale";"Piazza Umberto  I";"";"92021";"Aragona";"084003";"Agrigento";"SICILIA";"084";"37,4800295";"13,5458603";"+39 092237170";"+39 0922690908";"salvina.lauricella@comune.aragona.ag.it";"http://www.opacagrigento.it/biblioteche/aragon.html"
"IT-AG0011";"Biblioteca comunale";"Piazza G. Marconi 43";"";"92010";"Bivona";"084004";"Agrigento";"SICILIA";"084";"37,6184977";"13,4405434";"+39 0922986256";"+39 0922983123";"bivona.biblioteca@tiscali.it";"http://www.comune.bivona.ag.it/index.php?option=com_content&view=article&id=281:biblioteca-comunale&Itemid=175"
"IT-AG0012";"Biblioteca comunale";"Piazza Umberto I";"";"92010";"Caltabellotta";"084007";"Agrigento";"SICILIA";"084";"37,5768578";"13,2157946";"+39 0925952470";"";"";""
"IT-AG0014";"Biblioteca Comunale";"Via dei Giardini";"";"92022";"Cammarata";"084009";"Agrigento";"SICILIA";"084";"37,6308269";"13,6371923";"+39 0922905669";"+39 0922901704";"biblioteca.cammarata@libero.it";""
"IT-AG0016";"Biblioteca comunale";"Via Michelangelo n. 9";"";"92020";"Castrofilippo";"084013";"Agrigento";"SICILIA";"084";"37,350753";"13,7501912";"+39 0922825110";"+39 0922912704";"";""
"IT-AG0017";"Biblioteca comunale";"Via collegio";"";"92011";"Cattolica Eraclea";"084014";"Agrigento";"SICILIA";"084";"37,438755";"13,3952266";"";"";"";""
"IT-AG0018";"Biblioteca comunale Alessio Di Giovanni";"Corso Vittorio Emanuele";"";"92012";"Cianciana";"084015";"Agrigento";"SICILIA";"084";"37,5264394";"13,4336571";"+39 0922987134";"";"";""
"IT-AG0019";"Biblioteca Comunale";"Piazza G. Bellacera 20";"";"92020";"Comitini";"084016";"Agrigento";"SICILIA";"084";"37,4086694";"13,6436159";"+39 0922600029";"+39 0922600386";"";""
"IT-AG0022";"Biblioteca Comunale Barone Antonio Mendola";"Piazza Cavour 56";"";"92026";"Favara";"084017";"Agrigento";"SICILIA";"084";"37,3147813";"13,6604992";"+39 0922448505";"+39 0922448500";"biblioteca.barone.mendola@comune.favara.ag.it";""
"IT-AG0024";"Biblioteca comunale Martin Luther King";"Via Fonte 3";"";"92020";"Grotte";"084018";"Agrigento";"SICILIA";"084";"37,4034467";"13,7023793";"+39 0922943109";"";"";""
"IT-AG0025";"Biblioteca comunale";"Via Torino";"";"92010";"Joppolo Giancaxio";"084019";"Agrigento";"SICILIA";"084";"37,3868747";"13,5551581";"+39 0922631047";"";"";""
"IT-AG0027";"Biblioteca Comunale Piersanti Mattarella";"Corso Vittorio Emanuele n. 123";"";"92010";"Lucca Sicula";"084022";"Agrigento";"SICILIA";"084";"37,5786421572381";"13,3070667306885";"+39 092560490";"+39 092560585";"culturale2007@libero.it";""
